urlOrigem,httpStatusCode,urlRedirect,titlePage,destinationUrlStatus
https://www.netcoffee.com.br/chas/bebida-qualimax-cha-preto-frutas-vermelhas,301,https://www.netcoffee.com.br/chas/,"Chás | NetCoffee",200
https://www.netcoffee.com.br/cafe-soluvel-bongusto-510g,301,https://www.netcoffee.com.br/cafe-soluvel-granulado-510g,"Café Solúvel Granulado 510g | NetCoffee",200
https://www.netcoffee.com.br/capuccinos/capuccino-qualimax-tradicional,301,https://www.netcoffee.com.br/capuccino-tradicional-1-kg,"Capuccino Tradicional 1 kg | NetCoffee",200
https://www.netcoffee.com.br/cafes/cafe-em-po-coffee-cerrado-mineiro-pacote-250g,301,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/ovomaltine-pacote-750g,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/cafe-com-leite-superiore-1-kg,301,https://www.netcoffee.com.br/cafe-soluvel-granulado-510g,"Café Solúvel Granulado 510g | NetCoffee",200
https://www.netcoffee.com.br/saches,301,https://www.netcoffee.com.br/kit-com-30-saches-capuccino-tradicional,"Kit com 30 sachês Capuccino Tradicional | NetCoffee",200
https://www.netcoffee.com.br/chas/xarope/xarope-maca-verde-vora-1l,301,https://www.netcoffee.com.br/xarope-maca-verde-vora-1l,"Xarope Maça Verde Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/chocolates/bebida-chocolate-express-qualimax,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/achocolatado-nestle-alpino-1kg,301,https://www.netcoffee.com.br/chocolate-tradicional-1kg,"Chocolate Tradicional 1kg | NetCoffee",200
https://www.netcoffee.com.br/contato,301,https://www.netcoffee.com.br/pagina/fale-conosco,Fale Conosco,200
https://www.netcoffee.com.br/cha-mate-pessego-pacote-1-kg,301,https://www.netcoffee.com.br/cha-mate-pessego-1kg,"Chá Mate Pêssego 1kg | NetCoffee",200
https://www.netcoffee.com.br/chas/xarope/xarope-limao-siciliano-vora-1l,301,https://www.netcoffee.com.br/xarope-limao-siciliano-vora-1l,"Xarope Limão Siciliano Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/chas/xarope/xarope-pink-lemonade-vora-1l,301,https://www.netcoffee.com.br/xarope-pink-lemonade-vora-1l,"Xarope Pink Lemonade Vora 1L | NetCoffee",200
https://www.netcoffee.com.br/kit-com-2-copos-de-cafe-parede-dupla-80-ml,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/cafes/soluvel/cafe-soluvel-liofilizado-gourmet-pacote-510g,301,https://www.netcoffee.com.br/cafe-soluvel-liofilizado-gourmet-510g,"Café Solúvel Liofilizado Gourmet 510g | NetCoffee",200
https://www.netcoffee.com.br/copo-tipo-starbucks-eco-fibra-de-bambu-450ml,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/cha-hortela-com-gengibre-e-limao-cx-10-saches,301,https://www.netcoffee.com.br/chas/,"Chás | NetCoffee",200
https://www.netcoffee.com.br/10-desconto-bebidas-no-atacado,301,https://www.netcoffee.com.br/top-10/,"Top 10 | NetCoffee",200
https://www.netcoffee.com.br/bomba-dosadora-1883,301,https://www.netcoffee.com.br/,NetCoffee,200
https://www.netcoffee.com.br/sem-acucar/1-kg,301,https://www.netcoffee.com.br/sem-acucar,"Sem açúcar | NetCoffee",200
https://www.netcoffee.com.br/cafes/cafe-em-graos-gourmet-pacote-500g,301,https://www.netcoffee.com.br/cafe-em-grao-classico-1kg,"Café em Grão Clássico 1kg | NetCoffee",200
https://www.netcoffee.com.br/cha-mate-tostado-natural-cx-10-saches,301,https://www.netcoffee.com.br/chas/,"Chás | NetCoffee",200
https://www.netcoffee.com.br/leite-em-po-integral-instantaneo-zero-lactose-pacote-300-g,301,https://www.netcoffee.com.br/preparado-lacteo-1kg,"Preparado Lácteo 1kg | NetCoffee",200
